athlete_id,given_name,nickname,surname,suffix,athlete_gender
388,Jean Guy,,Gautier,,Male
389,Auguste,,Giroux,,Male
390,Charles,,Gondouin,,Male
391,Constantin,,Henriquez De Zubierra,,Male
392,Jean,,Herve,,Male
393,Victor,,Lardanchet,,Male
394,Hubert,,Lefebvre,,Male
395,Joseph,,Olivier,,Male
396,Alexandre,,Pharamond,,Male
397,Frantz,,Reichel,,Male
398,Andre,,Rischmann,,Male
399,Albert,,Roosevelt,,Male
400,Emile,,Sarrade,,Male
401,Albert,,Amrhein,,Male
402,F.C.,,Bayliss,,Male
403,Hugo,,Betting,,Male
404,J.Henry,,Birtles,,Male
405,J.,,Cautlon,,Male
406,Artur John,,Darby,,Male
407,C.P.,,Deykin,,Male
408,Jacob,,Herrmann,,Male
409,Willy,,Hofmeister,,Male
410,L.,,Hood,,Male
411,Hermann,,Kreuzer,,Male
412,Arnold,,Landvoigt,,Male
413,Hans,,Latscha,,Male
414,M.L.,,Logan,,Male
415,H.A.,,Loveitt,,Male
416,Erich,,Ludwig,,Male
417,Richard,,Ludwig,,Male
418,Fritz,,Muller,,Male
419,N.S.,,Nicol,,Male
420,Eduard,,Poppe,,Male
421,Heinrich,,Reitz,,Male
422,August,,Schmierer,,Male
423,V.,,Smith,,Male
424,Adolf,,Stockhausen,,Male
425,M.W.,,Talbot,,Male
426,J.G.,,Wallis,,Male
427,Georg,,Wenderoth,,Male
428,Claud,,Whittindale,,Male
429,Raymond,,Whittindale,,Male
430,Francis Henry,,Wilson,,Male
431,E.,,Michelet,,Male
432,F.,,Michelet,,Male
433,John H.,,Gretton,,Male
434,Linton,,Hope,,Male
435,Lorne Campbell,,Lord Currie,,Male
436,Jacques,,Baudrier,,Male
437,Jean,,Lebret,,Male
438,,,Marcotte,,Male
439,William,,Martin,,Male
440,,,Valton,,Male
441,Edward,,Hore,,Male
442,Emile,,Billard,,Male
443,P.,,Perquer,,Male
444,Jean,,Le Duc Decazes,,Male
445,M.,,Machenry,,Male
446,Howard,,Taylor,,Male
447,Maurice,,Gufflet,,Male
448,Georg,,Naue,,Male
449,Heinrich,,Peters,,Male
450,Ottokar,,Weise,,Male
451,Martin,,Wiesner,,Male
452,Eugene,,Balme,,Male
453,Maurice,,Larrouy,,Male
454,Leon,,Moreaux,,Male
455,Antonius,,Bouwens,,Male
456,Henrik,,Sillem,,Male
457,Anthony Ahasuerus,,Sweys,,Male
458,Solko Johannes,,Van Den Bergh,,Male
459,Gerardus,,Van Haan,,Male
460,Friedrich,,Luthi,,Male
461,Paul,,Probst,,Male
462,Louis-Marc,,Richardet,,Male
463,Karl Konrad,,Roderer,,Male
464,Konrad,,Staheli,,Male
465,Louis,,Duffoy,,Male
466,Maurice,,Lecoq,,Male
467,Achille,,Paroche,,Male
468,,,Trinite,,Male
469,Ole,,Ostmo,,Male
470,Paul,,Van Asbroeck,,Male
471,Emil,,Kellenberger,,Male
472,Anders Peter,,Nielsen,,Male
473,Charles,,Paumier Du Vergier,,Male
474,Lars Jorgen,,Madsen,,Male
475,Auguste,,Cavadini,,Male
476,Rene,,Thomas,,Male
477,Franz,,Bockli,,Male
478,Alfred,,Gruter,,Male
479,Olaf Emil,,Frydenlund,,Male
480,Hellmer,,Hermandsen,,Male
481,Ole Andreas,,Saether,,Male
482,Tom,,Seeberg,,Male
483,Justinien,,De Clary,,Male
484,Roger,,De Barbarin,,Male
485,Rene,,Guyot,,Male
486,Georges,,De La Chapelle,,Male
487,Harold Sergerson,,Mahony,,Male
488,Arthur B.J.,,Norris,,Male
489,Andre,,Prevost,,Male
490,Hugh Lawrence,,Doherty,,Male
491,Reginald Frank,,Doherty,,Male
492,Basil Spalding,,De Garmendia,,Male
493,Max,,Decugis,,Male
494,Archibald A.,,Warden,,Male
495,Marion,,Jones,,Female
496,Hedwig,,Rosenbaum,,Female
497,Charlotte,,Cooper,,Female
498,Helene,,Prevost,,Female
499,Edgar,,Aabye,,Male
500,August,,Nilsson,,Male
501,Eugen,,Schmidt,,Male
502,Gustaf,,Soderstrom,,Male
503,Karl Gustav,,Staaf,,Male
504,Charles,,Winckler,,Male
505,Pierre,,Basset,,Male
506,Joseph,,Roffo,,Male
507,Alfred,,Braunschweiger,,Male
508,Frank,,Kehoe,,Male
509,George,,Sheldon,,Male
510,Georg,,Hoffmann,,Male
511,Leo Budd,,Goodwin,,Male
512,William Paul,,Dickey,,Male
513,Edgar H.,,Adams,,Male
514,Georg,,Zacharias,,Male
515,Walter,,Brack,,Male
516,J. Scott,,Leary,,Male
517,Charles,,Daniels,,Male
518,Francis,,Gailey,,Male
519,Emil,,Rausch,,Male
520,Geza,,Kiss,,Male
521,Hehry Jamison,,Handy,,Male
522,Gwynne,,Evans,,Male
523,William Robert,,Orthwein,,Male
524,Amadee,,Reyburn,,Male
525,Marquard,,Schwartz,,Male
526,Louis De Breda,,Handley,,Male
527,Joseph A.,,Ruddy,,Male
528,Hugo,,Goetz,,Male
529,David,,Hammond,,Male
530,Raymond,,Thorne,,Male
531,William,,Tuttle,,Male
532,William Henry,,Thompson,,Male
533,George Philipp,,Bryant,,Male
534,Robert,,Williams,,Male
535,Jessie,,Pollock,,Female
536,Matilda Scott,,Howell,,Female
537,Emma C.,,Cooke,,Female
538,Wallace,,Bryant,,Male
539,Cyrus Edwin,,Dallin,,Male
540,Henry Barber,,Richardson,,Male
541,Louis W.,,Maxson,,Male
542,Galen Carter,,Spencer,,Male
543,William A.,,Clark,,Male
544,Samuel Harding,,Duvall,,Male
545,Charles R.,,Hubbard,,Male
546,Charles S.,,Woodruff,,Male
547,Louise,,Taylor,,Female
548,Laura,,Woodruff,,Female
549,Mabel,,Taylor,,Female
550,William,,Hogenson,,Male
551,Archie,,Hahn,,Male
552,John Nathaniel,,Cartmell,,Male
553,Lesley,,Ashburner,,Male
554,Frederick,,Schule,,Male
555,Thaddeus,,Shideler,,Male
556,Lacey,,Hearn,,Male
557,James,,Lightbody,,Male
558,William Frank,,Verner,,Male
559,George,,Poage,,Male
560,Harry,,Hillman,,Male
561,Frank,,Castleman,,Male
562,Arthur,,Newton,,Male
563,John,,Daly,,Male
564,Herman,,Groman,,Male
565,Frank,,Waller,,Male
566,David Curtis,,Munson,,Male
567,Paul Harry,,Pilgrim,,Male
568,George,,Underwood,,Male
569,Howard,,Valentine,,Male
570,Albert,,Coray,,Male
571,Sidney,,Hatch,,Male
572,James,,Mitchell,,Male
573,Etienne,,Desmarteau,,Male
574,Fay,,Moulton,,Male
575,Emil,,Breitkreutz,,Male
576,Thomas Francis,,Kiely,,Male
577,Adam,,Gunn,,Male
578,Nicolaos,,Georgandas,,Male
579,Martin,,Sheridan,,Male
580,Ralph,,Rose,,Male
581,John,,Dewitt,,Male
582,Paul,,Weinstein,,Male
583,Samuel,,Jones,,Male
584,Garrett,,Serviss,,Male
585,Lawson N.,,Robertson,,Male
586,Joseph F.,,Stadler,,Male
587,Robert,,Stangland,,Male
588,Daniel,,Frank,,Male
589,John,,Biller,,Male
590,Charles,,King,,Male
591,Thomas,,Hicks,,Male
592,Louis,,Wilkins,,Male
593,Charles,,Dvorak,,Male
594,Leroy,,Samse,,Male
595,Lawrence E. Joseph,,Feuerbach,,Male
596,William Wesley,,Coe,,Male
597,William,,Merz,,Male
598,Max,,Emmerich,,Male
599,John,,Grieb,,Male
600,Frederick,,Englehardt,,Male
601,George,,Finnegan,,Male
602,Miles,,Burke,,Male
603,William,,Michaels,,Male
604,Samuel,,Berger,,Male
605,Charles,,Mayer,,Male
606,Oliver L.,,Kirk,,Male
607,Frederick,,Gilmore,,Male
608,Frank,,Haller,,Male
609,Russell,,Van Horn,,Male
610,Harry J.,,Spanger,,Male
611,James Jack,,Eagan,,Male
612,Joseph,,Lydon,,Male
613,Albert,,Young,,Male
614,Benjamin,,Spradley,,Male
615,Edward,,Billington,,Male
616,Marcus,,Hurley,,Male
617,Burton,,Downing,,Male
618,Oscar,,Goerke,,Male
619,George,,Wiley,,Male
620,Arthur F.,,Andrews,,Male
621,Charles,,Schlee,,Male
622,Albertson,,Van Zo Post,,Male
623,Charles,,Tatham,,Male
624,Manuel,,Diaz,,Male
625,Arthur,,Fox,,Male
626,Charles Fitzhugh,,Townsend,,Male
627,William,,Grebe,,Male
628,William Scott,,O'Connor,,Male
629,Joseph J.,,Brady,,Male
630,George Edwin,,Cooke,,Male
631,Thomas J.,,Cooke,,Male
632,Cormic F.,,Costgrove,,Male
633,,,Dierkes,,Male
634,Martin T.,,Dooling,,Male
635,Frank,,Frost,,Male
636,Claude Stanley,,Jameson,,Male
637,Henry Wood,,Jameson,,Male
638,,,Johnson,,Male
639,,,O'Connell,,Male
640,Harry,,Tate,,Male
641,Charles Albert,,Bartliff,,Male
642,Warren G.,,Brittingham,,Male
643,Oscar B.,,Brockmeyer,,Male
644,Alexander,,Cudmore,,Male
645,George,,Ducker,,Male
646,John Alexander,,Fraser,,Male
647,John,,Gourley,,Male
648,Alexander,,Hall,,Male
649,Charles James,,January,,Male
650,John Hartnett,,January,,Male
651,Thomas Thurston,,January,,Male
652,Albert,,Johnson,,Male
653,Robert,,Lane,,Male
654,Raymond E.,,Lawler,,Male
655,Ernest,,Linton,,Male
656,Gordon,,Macdonald,,Male
657,Louis John,,Menges,,Male
658,Peter Joseph,,Ratican,,Male
659,Frederick,,Steep,,Male
660,Thomas,,Taylor,,Male
661,William,,Twaits,,Male
662,Burt P.,,Mckinnie,,Male
663,Francis Clement,,Newton,,Male
664,George Seymour,,Lyon,,Male
665,Henri Chandler,,Egan,,Male
666,Edward M.,,Cummins,,Male
667,Kenneth Paine,,Edwards,,Male
668,Walter Eugene,,Egan,,Male
669,Robert Edward,,Hunter,,Male
670,Nathaniel Fish,,Moore,,Male
671,Mason Elliot,,Phelps,,Male
672,Danieledward,,Sawyer,,Male
673,Clement E.,,Smoot,,Male
674,Warren K.,,Wood,,Male
675,John Deere,,Cady,,Male
676,Albert Bond,,Lambert,,Male
677,John R.,,Maxwell,,Male
678,Ralph,,Mckittrick,,Male
679,Henry,,Potter,,Male
680,Frederick,,Semple,,Male
681,Arthur William,,Stickney,,Male
682,Stuart Grosvenor,,Stickney,,Male
683,Ralph,,Wilson,,Male
684,Edward,,Hennig,,Male
685,Emil,,Voigt,,Male
686,Wilhelm,,Weber,,Male
687,Adolf,,Spinnler,,Male
688,Julius,,Lenhart,,Male
689,Anton,,Heida,,Male
690,George,,Eyser,,Male
691,John,,Duha,,Male
692,Hermann,,Glass,,Male
693,Charles,,Krause,,Male
694,Robert,,Mayack,,Male
695,George,,Meyer,,Male
696,Philipp,,Schuster,,Male
697,Edward,,Siegler,,Male
698,Max,,Hess,,Male
699,Philipp,,Kassel,,Male
700,Ernst,,Reckeweg,,Male
701,Emil,,Beyer,,Male
702,John,,Bissinger,,Male
703,Arthur,,Rosenkampf,,Male
704,Julian,,Schmitz,,Male
705,Otto,,Steffen,,Male
706,Max,,Wolf,,Male
707,Elie,,Blanchard,,Male
708,W.,,Brennaugh,,Male
709,George,,Bretz,,Male
710,William Laurie,,Burns,,Male
711,George,,Cattanach,,Male
712,George,,Cloutier,,Male
713,Sandy,,Cowan,,Male
714,Jack,,Flett,,Male
715,Benjamin,,Jamieson,,Male
716,Hilliard,,Laidlaw,,Male
717,H.,,Lyle,,Male
718,William F.L.,,Orris,,Male
719,L.H.,,Pentland,,Male
720,Patrick,,Crogan,,Male
721,J.W.,,Dowling,,Male
722,,,Gibson,,Male
723,,,Hess,,Male
724,,,Lehman,,Male
725,,,Murphy,,Male
726,,,Partridge,,Male
727,George,,Passmore,,Male
728,,,Sullivan,,Male
729,A.H.,,Venn,,Male
730,,,Woods,,Male
731,,,Young,,Male
732,Charles,,Brown,,Male
733,Charles,,Jacobus,,Male
734,Smith O.,,Streeter,,Male
735,Joseph,,Buerger,,Male
736,John,,Joachim,,Male
737,Robert,,Farnam,,Male
738,Joseph,,Ryan,,Male
739,John J.F.,,Mulcahy,,Male
740,William,,Varley,,Male
741,Joseph,,Ravanack,,Male
742,John,,Wells,,Male
743,John Grey,,Hoben,,Male
744,James,,Mcloughlin,,Male
745,Charles E.,,Armstrong,,Male
746,Frederick,,Cresser,,Male
747,Joseph F.,,Dempsey,,Male
748,James,,Flanigan,,Male
749,Michael D.,,Gleason,,Male
750,Harry Hunter,,Lott,,Male
751,Frank Reaner,,Schell,,Male
752,Arthur B.,,Bailey,,Male
753,Philip Ewing,,Boyd,,Male
754,Thomas Richardson,,Loudon,,Male
755,Donald,,Mackenzie,,Male
756,George Patrick,,Reiffenstein,,Male
757,William,,Rice,,Male
